name,alg,setupalg,stickering
FBLP-BA,U2' F' R2',R2 F U2,FirstBlock
FBLP-AE,F U' r,r' U F',FirstBlock
FBLP-CC,R F U,U' F' R',FirstBlock
FBLP-DA,U2' F2 R2',R2 F2 U2,FirstBlock
FBLP-DB,U r' U',U r U',FirstBlock
FBLP-EA,r2' F' U2',U2 F r2,FirstBlock
FBLP-GA,u' R' u,u' R u,FirstBlock
FBLP-MA,U2' F U2',U2 F' U2,FirstBlock
FBLP-OA,U2 r2' F',F r2 U2,FirstBlock
FBLP-TA,F' U r2',r2 U' F,FirstBlock
FBLP-WA,r U r',r U' r',FirstBlock
FBLP-WB,r' U' r,r' U r,FirstBlock
FBLP-WC,R U R',R U' R',FirstBlock
FBLP-WD,R' U' R,R' U R,FirstBlock
FBLP-WE,M' U M,M' U' M,FirstBlock
FBLP-WF,M U' M',M U M',FirstBlock
FBLP-WG,F R F',F R' F',FirstBlock
FBLP-WH,F' L' F,F' L F,FirstBlock
FBLP-WI,U R U',U R' U',FirstBlock
FBLP-WJ,U' L' U,U L U,FirstBlock
FBLP-WK,y' R U R',R U' R' y,FirstBlock
FBLP-WL,y' R' U' R,R' U R y,FirstBlock
FBLP-WM,f R f',f R' f',FirstBlock
FBLP-WN,f' L' f,f' L f,FirstBlock
FBLP-WO,U2 L' U2,U2 L U2,FirstBlock
FBLP-WP,U2 R U2,U2 R' U2,FirstBlock
FBLP-WQ,M' U2 M,M' U2 M,FirstBlock
FBLP-WR,M U2 M',M U2 M',FirstBlock
FBLP-WS,x U R' U',U R U' x,FirstBlock
FBLP-WT,x U' L U,U' L' U x,FirstBlock
FBLP-WU,R u R',R u' R',FirstBlock
FBLP-WV,L' u' L,L' u L,FirstBlock
FBLP-WW,r u r',r u' r',FirstBlock
FBLP-WX,r' u' r,r' u r,FirstBlock
FBLP-WY,D R U',U R' D',FirstBlock
FBLP-WZ,D' L' U,U' L D,FirstBlock
FBLP-W1,U' r' U,U' r U,FirstBlock
FBLP-W2,U l U',U l' U',FirstBlock
FBLP-W3,R' F R,R' F' R,FirstBlock
FBLP-W4,L F' L',L F L',FirstBlock
FBLP-W5,r' F r,r' F' r,FirstBlock
FBLP-W6,l F' l',l F l',FirstBlock
FBLP-W7,u R' u',u R u',FirstBlock
FBLP-W8,u' L u,u' L' u,FirstBlock
FBLP-W9,F U F',F U' F',FirstBlock
FBLP-W10,F' U' F,F' U F,FirstBlock
FBLP-W11,f U f',f U' f',FirstBlock
FBLP-W12,f' U' f,f' U f,FirstBlock
FBLP-W13,U M' U',U M U',FirstBlock
FBLP-W14,U' M U,U' M' U,FirstBlock
FBLP-W15,R2 U R2,R2 U' R2,FirstBlock
FBLP-W16,L2 U' L2,L2 U L2,FirstBlock
FBLP-W17,F2 U F2,F2 U' F2,FirstBlock
FBLP-W18,r2 U r2,r2 U' r2,FirstBlock
FBLP-W19,M2 U M2,M2 U' M2,FirstBlock
FBLP-W20,U R2 U',U R2 U',FirstBlock
FBLP-W21,U' L2 U,U' L2 U,FirstBlock
FBLP-W22,R U2 R',R U2 R',FirstBlock
FBLP-W23,L' U2 L,L' U2 L,FirstBlock
FBLP-W24,F R2 F',F R2 F',FirstBlock
FBLP-W25,F' L2 F,F' L2 F,FirstBlock
FBLP-W26,r U2 r',r U2 r',FirstBlock
FBLP-W27,l' U2 l,l' U2 l,FirstBlock
FBLP-W28,f R2 f',f R2 f',FirstBlock
FBLP-W29,f' L2 f,f' L2 f,FirstBlock
FBLP-W30,M' U2 M,M' U2 M,FirstBlock
FBLP-W31,u R2 u',u R2 u',FirstBlock
FBLP-W32,u' L2 u,u' L2 u,FirstBlock
FBLP-W33,D R2 D',D R2 D',FirstBlock
