name,name_cuberoot,corner_LFD,edge_LF,alg,setupalg,stickering,move_count,move_1,move_2,move_3
BDR-FU,TI,BDR,FU,R2 r' F,F' r R2,FirstBlock,3,R2,r',F
BDR-LF,TF,BDR,LF,F' R F,F' R' F,FirstBlock,3,F',R,F
BDR-RF,TP,BDR,RF,F R F,F' R' F',FirstBlock,3,F,R,F
BDR-UB,TA,BDR,UB,R' U2 F',F U2 R,FirstBlock,3,R',U2,F'
BDR-UF,TC,BDR,UF,F2 R F,F' R' F2,FirstBlock,3,F2,R,F
BRU-BR,QT,BRU,BR,R' U F',F U' R,FirstBlock,3,R',U,F'
BRU-DF,QU,BRU,DF,F' U F2,F2 U' F,FirstBlock,3,F',U,F2
BRU-LF,QF,BRU,LF,D R2 D',D R2 D',FirstBlock,3,D,R2,D'
BRU-UF,QC,BRU,UF,F U F2,F2 U' F',FirstBlock,3,F,U,F2
BUL-BU,RQ,BUL,BU,U R' F2,F2 R U',FirstBlock,3,U,R',F2
BUL-DF,RU,BUL,DF,U2 R' F,F' R U2,FirstBlock,3,U2,R',F
DFR-DB,VW,DFR,DB,F2 r2 F',F r2 F2,FirstBlock,3,F2,r2,F'
DFR-FU,VI,DFR,FU,R r' F,F' r R',FirstBlock,3,R,r',F
DFR-LF,VF,DFR,LF,D R D',D R' D',FirstBlock,3,D,R,D'
DFR-UB,VA,DFR,UB,R2 U2 F',F U2 R2,FirstBlock,3,R2,U2,F'
DLF-RD,UO,DLF,RD,F' R F2,F2 R' F,FirstBlock,3,F',R,F2
DLF-UR,UB,DLF,UR,F2 U F',F U' F2,FirstBlock,3,F2,U,F'
DRB-DR,WV,DRB,DR,R2 U F',F U' R2,FirstBlock,3,R2,U,F'
DRB-RU,WM,DRB,RU,R' U F2,F2 U' R,FirstBlock,3,R',U,F2
FDL-FD,LK,FDL,FD,F2 r' F,F' r F2,FirstBlock,3,F2,r',F
