name,alg,stickering,corner_RFD,edge_RF,description,corner_layer,edge_layer,group,alternatives,move_count,sequence,alg_rank_kian
RUF-RU,U R U' R',SecondBlock,RUF,RU,,U,U,A,3,4,1,1
RUF-RU,U2 R U2 R',SecondBlock,RUF,RU,,U,U,A,3,4,2,2
RUF-RU,R' F R F',SecondBlock,RUF,RU,,U,U,A,3,4,3,3
UFR-UF,r U r',SecondBlock,UFR,UF,,U,U,B,3,3,4,1
UFR-UF,F R' F' R,SecondBlock,UFR,UF,,U,U,B,3,4,5,2
UFR-UF,U' F' U F,SecondBlock,UFR,UF,,U,U,B,3,4,6,3
RUF-BU,U2 M U' r U' r',SecondBlock,RUF,BU,,U,U,A,5,6,7,1
RUF-BU,U' R U R' U2 R U' R',SecondBlock,RUF,BU,,U,U,A,5,8,8,2
RUF-BU,U' R U R' U' R U2 R',SecondBlock,RUF,BU,,U,U,A,5,8,9,3
RUF-BU,U' r U' r' U2 r U' r',SecondBlock,RUF,BU,,U,U,A,5,8,10,4
RUF-BU,M' U' M U2 R U' R',SecondBlock,RUF,BU,,U,U,A,5,7,11,5
RUF-LU,U' M U2 r U' r',SecondBlock,RUF,LU,,U,U,A,3,6,12,1
RUF-LU,U' R U2 R' U2 R U' R',SecondBlock,RUF,LU,,U,U,A,3,8,13,2
RUF-LU,U r U2 M U R',SecondBlock,RUF,LU,,U,U,A,3,6,14,3
RUF-FU,M U r U' r',SecondBlock,RUF,FU,,U,U,A,5,5,15,1
RUF-FU,R U R' U2 R U' R' U R U' R',SecondBlock,RUF,FU,,U,U,A,5,11,16,2
RUF-FU,F' U F U2 R U R',SecondBlock,RUF,FU,,U,U,A,5,7,17,3
RUF-FU,U' R' U R U' R U R',SecondBlock,RUF,FU,free slot,U,U,A,5,8,18,4
RUF-FU,U2 r U M U R',SecondBlock,RUF,FU,,U,U,A,5,6,19,5
UFR-UL,U' M U M' r U r',SecondBlock,UFR,UL,,U,U,B,4,7,20,1
UFR-UL,U r U r' U2 r U r',SecondBlock,UFR,UL,,U,U,B,4,8,21,2
UFR-UL,U F' U' F U' r U r',SecondBlock,UFR,UL,,U,U,B,4,8,22,3
UFR-UL,U' r U' r' U R U R',SecondBlock,UFR,UL,,U,U,B,4,8,23,4
UFR-UB,r U2 M2 U' r',SecondBlock,UFR,UB,,U,U,B,4,5,24,1
UFR-UB,U2 M U2 M' r U r',SecondBlock,UFR,UB,,U,U,B,4,7,25,2
UFR-UB,U F' U2 F U' r U r',SecondBlock,UFR,UB,,U,U,B,4,8,26,3
UFR-UB,M' U2 M U2 r U r',SecondBlock,UFR,UB,,U,U,B,4,7,27,4
UFR-UR,R U' R' U' M R U' R',SecondBlock,UFR,UR,,U,U,B,5,8,28,1
UFR-UR,R U' R' U' r' R2 U' R',SecondBlock,UFR,UR,,U,U,B,5,8,29,2
UFR-UR,U M U' M' r U r',SecondBlock,UFR,UR,,U,U,B,5,7,30,3
UFR-UR,U' M' U' M U2 r U r',SecondBlock,UFR,UR,,U,U,B,5,8,31,4
UFR-UR,R U' R' U2 F' U' F,SecondBlock,UFR,UR,,U,U,B,5,7,32,5
UFR-BU,R U R',SecondBlock,UFR,BU,,U,U,D,1,3,33,1
